Provinsi;Tahun;Bawang Merah;Cabai Besar;Cabai Keriting;Tomat;Bawang Putih;Kentang;Kubis
Aceh;2021;1190;728;4335;503;6;15997;4225
Sumatera Utara;2021;4374;757;16459;5887;160;159014;233761
Sumatera Barat;2021;13872;25;11339;3570;189;15201;174387
Riau;2021;67;448;1299;44;0;0;0
Jambi;2021;1785;1835;3234;883;59;129336;51461
Sumatera Selatan;2021;194;1588;3288;886;32;524;4151
Bengkulu;2021;175;5362;1517;3530;71;3573;76689
Lampung;2021;228;2445;3144;1687;21;179;6073
Kepulauan Bangka Belitung;2021;25;90;318;90;0;0;8
Kepulauan Riau;2021;12;84;169;32;0;0;10
DKI Jakarta;2021;1;0;0;0;0;0;6
Jawa Barat;2021;15877;12248;10873;9978;107;240482;231871
Jawa Tengah;2021;55979;9348;13334;4759;3875;277725;226695
DI Yogyakarta;2021;3020;513;3832;112;0;29;1
Jawa Timur;2021;53671;10973;4752;5284;812;324338;193026
Banten;2021;357;237;509;178;4;4;51
Bali;2021;1382;768;0;527;144;114;38992
Nusa Tenggara Barat;2021;20314;986;505;1409;1049;2036;13064
Nusa Tenggara Timur;2021;1594;365;270;1064;210;410;3418
Kalimantan Barat;2021;54;799;100;799;0;0;28
Kalimantan Tengah;2021;24;254;51;500;0;0;28
Kalimantan Selatan;2021;73;1048;151;710;0;0;11
Kalimantan Timur;2021;32;502;333;861;0;0;4
Kalimantan Utara;2021;28;267;27;206;0;0;0
Sulawesi Utara;2021;676;58;831;2060;12;120187;75085
Sulawesi Tengah;2021;873;461;649;1528;67;656;36735
Sulawesi Selatan;2021;17340;2141;323;3626;34;71083;59868
Sulawesi Tenggara;2021;266;508;170;1223;0;0;121
Gorontalo;2021;73;95;33;415;4;0;2
Sulawesi Barat;2021;485;4091;156;4901;11;101;2
Maluku;2021;224;184;233;529;0;3;880
Maluku Utara;2021;208;119;514;716;0;0;20
Papua Barat;2021;46;162;55;382;1;71;261
Papua;2021;56;329;4;524;1;2;3740
Indonesia;2021;194575;59814;82804;59401;6868;1361064;1434670
Aceh;2022;1228;309;6734;575;1;14294;6294
Sumatera Utara;2022;4245;1287;16163;6327;10;148432;236449
Sumatera Barat;2022;14033;14;12200;4557;79;25134;164654
Riau;2022;34;354;1266;45;0;0;1
Jambi;2022;2119;790;5617;1153;6;184721;84319
Sumatera Selatan;2022;180;1091;3401;911;79;565;3832
Bengkulu;2022;94;5305;1499;3606;77;3861;77414
Lampung;2022;187;1515;3153;1583;3;195;6823
Kepulauan Bangka Belitung;2022;12;109;351;108;0;0;0
Kepulauan Riau;2022;7;55;205;17;0;0;3
DKI Jakarta;2022;1;0;0;0;0;0;6
Jawa Barat;2022;17397;11503;13313;9735;41;268573;227594
Jawa Tengah;2022;53645;6053;15751;4901;2987;245308;207735
DI Yogyakarta;2022;2439;288;3531;106;0;0;0
Jawa Timur;2022;51347;8401;4456;5117;212;381090;210454
Banten;2022;202;180;632;241;0;5;23
Bali;2022;1279;627;0;416;101;56;33730
Nusa Tenggara Barat;2022;18742;1156;450;1559;382;2877;9791
Nusa Tenggara Timur;2022;1399;283;386;1197;205;320;2958
Kalimantan Barat;2022;20;712;225;716;0;0;0
Kalimantan Tengah;2022;25;192;46;380;0;0;21
Kalimantan Selatan;2022;47;904;281;753;0;0;0
Kalimantan Timur;2022;25;304;482;724;0;0;2
Kalimantan Utara;2022;3;252;56;237;0;0;0
Sulawesi Utara;2022;662;49;775;3109;0;49835;33512
Sulawesi Tengah;2022;632;277;786;1417;18;425;27024
Sulawesi Selatan;2022;13075;1894;566;4623;5;92613;68522
Sulawesi Tenggara;2022;97;552;290;1230;0;0;365
Gorontalo;2022;63;186;18;620;0;0;0
Sulawesi Barat;2022;590;4423;231;4893;11;70;9
Maluku;2022;214;196;370;537;0;1;727
Maluku Utara;2022;251;5;983;933;0;0;128
Papua Barat;2022;52;95;88;347;11;29;430
Papua;2022;42;257;7;405;0;0;2073
Indonesia;2022;184386;49616;94309;63078;4227;1418404;1404893
