Provinsi;Tahun;Sapi Perah;Sapi Potong;Kerbau;Kuda;Kambing;Domba;Babi
Aceh;2021;0;455.2;112.4;3.3;650;100.7;1.6
Sumatera Utara;2021;5.2;935.9;94.2;1;665.7;768.3;162.5
Sumatera Barat;2021;0.7;424.6;83.4;1.2;248.7;4.7;42.8
Riau;2021;0.1;209.6;32;0.1;252.4;31.1;46.6
Jambi;2021;0;161.1;46.7;0.2;419.7;71.9;1.6
Sumatera Selatan;2021;0;310.6;27.2;0.1;428.6;36.8;12.1
Bengkulu;2021;0.2;153.9;30.4;0.1;211.3;9.7;1.5
Lampung;2021;1;904.1;22.5;0.2;1611.3;89.3;40.2
Kepulauan Bangka Belitung;2021;0.2;17.9;0.3;0;6.9;0.1;7
Kepulauan Riau;2021;0;28.6;0;0;12.7;0;270.2
DKI Jakarta;2021;1.3;1.7;0;0.2;6;1.6;0
Jawa Barat;2021;120;415.1;79.2;9.2;1409;10035.3;7.7
Jawa Tengah;2021;142.6;1874;58.2;8;3790.1;2333.4;88.3
DI Yogyakarta;2021;3.5;323.3;0.5;1.8;417.4;144.6;9.3
Jawa Timur;2021;305.8;4929;21.8;10.5;3741.9;1421;54
Banten;2021;0.1;37.9;57.6;0.2;645.4;464.6;4.9
Bali;2021;0;558.5;1.4;0.1;46.6;0;436.8
Nusa Tenggara Barat;2021;0;1320.6;120.1;41.8;711.4;22.1;64.8
Nusa Tenggara Timur;2021;0;1173.5;162.8;118.2;956.4;74.6;2103.3
Kalimantan Barat;2021;0.2;156.6;1.7;0;147.1;0.2;410.7
Kalimantan Tengah;2021;0;84.5;11.2;0;51.4;0.5;193.7
Kalimantan Selatan;2021;0.1;165.3;20.1;0.1;80.3;2.1;5.3
Kalimantan Timur;2021;0.1;121.3;6.5;0.1;69;0.7;76.3
Kalimantan Utara;2021;0;22.4;3.9;0;12.4;0;25.3
Sulawesi Utara;2021;0;130.2;0;3.3;52.6;0;387.5
Sulawesi Tengah;2021;0;431.3;2.6;1;583.7;10.3;238.4
Sulawesi Selatan;2021;1.1;1443.3;116.9;173.5;819.4;0.9;966.4
Sulawesi Tenggara;2021;0;392.5;2.5;0.7;204.4;0;108.6
Gorontalo;2021;0;261.1;0;1.4;107.2;0;11.9
Sulawesi Barat;2021;0;115.1;9.4;1.3;199.2;0;170.2
Maluku;2021;0;117.4;16.3;1.4;104.3;11.6;92.3
Maluku Utara;2021;0;113.6;0.6;0.1;150.9;0;92.5
Papua Barat;2021;0;66.3;0;0;16.8;0;72
Papua;2021;0;121.2;0.8;2.9;74.1;0.2;971.8
Indonesia;2021;582.2;17977.2;1143.2;382;18904.3;15636.3;7178.1
Aceh;2022;0;481.6;117.3;33;531.2;119.7;2.1
Sumatera Utara;2022;5.3;967.6;98.2;11;682.8;780.6;185.2
Sumatera Barat;2022;0.8;432.3;83.7;12;251.4;4.5;45.3
Riau;2022;0.1;213.8;32.5;1;255.1;31.4;47
Jambi;2022;0;162;50.7;2;429.4;71.7;1.6
Sumatera Selatan;2022;0;317.1;27.7;1;437.3;37.3;12.5
Bengkulu;2022;0.3;161.4;31.9;1;216.6;10.3;1.6
Lampung;2022;1;906.6;20.7;1;1671.1;97.6;40.4
Kepulauan Bangka Belitung;2022;0.1;20.1;0.3;0;7.6;0.1;8.2
Kepulauan Riau;2022;0;29.1;0;0;13;0;270.7
DKI Jakarta;2022;1.4;1.8;0;2;6;1.6;0
Jawa Barat;2022;120.8;424.5;82.1;96;1430.2;9987.9;8.5
Jawa Tengah;2022;143.4;1910.9;61;81;3968.8;2326.9;79.2
DI Yogyakarta;2022;3.5;319.1;0.5;18;418.4;145.7;9.3
Jawa Timur;2022;314.4;5070.2;21.7;109;3897.2;1458.1;50.9
Banten;2022;0.1;21.7;43.7;2;463.3;408.7;4.9
Bali;2022;0;575.2;1.4;1;48;0;449.9
Nusa Tenggara Barat;2022;0;1474.5;129;438;815.4;23;68
Nusa Tenggara Timur;2022;0;1243.9;172.8;1253;1059.2;82.8;2325
Kalimantan Barat;2022;0.2;158.9;1.5;0;148.2;0.2;232.9
Kalimantan Tengah;2022;0;87.9;11.4;0;52.4;0.5;198.6
Kalimantan Selatan;2022;0.1;174;21.1;1;82.4;2.1;5.4
Kalimantan Timur;2022;0.1;124.9;6.7;1;71.1;0.7;78.6
Kalimantan Utara;2022;0;22.9;4;0;12.9;0;26
Sulawesi Utara;2022;0;132.9;0;32;54.4;0;402.9
Sulawesi Tengah;2022;0;458.1;2.2;10;612.9;10.7;253.6
Sulawesi Selatan;2022;1.2;1483.7;118.1;1758;844.1;0.9;984.7
Sulawesi Tenggara;2022;0.1;421.4;2.7;7;213.7;0;117.2
Gorontalo;2022;0;263;0;14;107.6;0;12
Sulawesi Barat;2022;0;119.2;9.4;13;201;0;169.5
Maluku;2022;0;120.2;16.4;14;139.5;12.1;94.6
Maluku Utara;2022;0;116.7;0.7;1;162.2;0;94.6
Papua Barat;2022;0;67.8;0;0;17.2;0;70.6
Papua;2022;0;125.1;0.8;30;76.4;0.2;928.8
Indonesia;2022;592.9;18610.1;1170.2;3943;19398;15615.3;7280.3
